name	product_id	price	store	stock	description	rating	reviews	image	rollout_date	category_0	category_1
Women's adidas Originals NMD_Racer Primeknit Shoes	AH2430	149.99	Eros International PLC	32	"Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish."	4.25	4	WOMEN_Originals_SHOES_LOW_AH2430_1.jpg	2020-04-13T15:06:14	shoes:size:42	shoes:color:Red
Women's adidas Originals Sleek Shoes	G27341	75.99	Marine Petroleum Trust	32	"A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles."	0.0	0	WOMEN_Originals_SHOES_LOW_G27341_1.jpg	2020-04-13T15:06:15	shoes:size:42	shoes:color:Red
Women's adidas Swim Puka Slippers 	CM0081	9.99	"Fossil Group, Inc."	32	These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.	3.4	25	Men_SWIM_SLIDES_CM0081_1.jpg	2020-04-13T15:06:15	shoes:size:42	shoes:color:Red
Women's adidas Sport Inspired Questar Ride Shoes	B44832	69.99	"Applied Industrial Technologies, Inc."	32	"Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride."	3.5	35	Women_CORE_RUNNING_SHOES_LOW_B44832_1.jpg	2020-04-13T15:06:15	shoes:size:42	shoes:color:Red
Women's adidas Originals Taekwondo Shoes	D98205	79.99	Allstate Corporation (The)	32	"This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole."	5.0	574	WOMEN_Originals_SHOES_LOW_D98205_1.jpg	2020-04-13T15:06:15	shoes:size:42	shoes:color:Red
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes	B75586	47.99	"Bonso Electronics International, Inc."	32	"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure. "	4.0	45	WOMEN_core_SHOES_B75586_1.jpg	2020-04-13T15:06:15	shoes:size:42	shoes:color:Red
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes	CG4051	47.99	Western Asset Variable Rate Strategic Fund Inc.	32	"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure. "	4.0	34	WOMEN_core_SHOES_CG4051_1.jpg	2020-04-13T15:06:15	shoes:size:45	shoes:color:Yellow
Women's adidas Swim Puka Slippers 	CM0080	9.99	Great Elm Capital Corp.	32	These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.	4.0	42	Men_SWIM_SLIDES_CM0080_1.jpg	2020-04-13T15:06:15	shoes:size:45	shoes:color:Yellow
WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES	B75990	55.99	Lakeland Financial Corporation	32	"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."	4.0	264	Women_RUNNING_SHOES_LOW_B75990_1.jpg	2020-04-13T15:06:15	shoes:size:45	shoes:color:Yellow
Men's adidas Originals Forest Grove Shoes	EE5761	65.99	"Saul Centers, Inc."	32	"The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style."	4.0	241	Men_ORIGINALS_SHOES_LOW_EE5761_1.jpg	2020-04-13T15:06:15	shoes:size:45	shoes:color:Yellow
Women's adidas Originals Swift Run Shoes	EE4553	75.99	Apache Corporation	32	"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability."	4.0	43	Women_ORIGINALS_SHOES_LOW_EE4553_1.jpg	2020-04-13T15:06:16	shoes:size:45	shoes:color:Yellow
Women's adidas Originals Continental Vulc Shoes	EF9315	65.99	"Evoke Pharma, Inc."	80	These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.	4.0	876	Women_ORIGINALS_VULCANIZED_SHOES_LOW_EF9315_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:Yellow
Women's adidas Running Duramo 9 Shoes	F35281	59.99	"German American Bancorp, Inc."	80	"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."	4.0	34	Women_CORE_RUNNING_SHOES_LOW_F35281_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:Yellow
Women's adidas Originals Supercourt Shoes	EF9220	75.99	Eros International PLC	56	"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look."	4.0	85	Women_ORIGINALS_SHOES_LOW_EF9220_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:Yellow
Men's adidas Sport Inspired Response Trail Shoes	EG0000	79.99	Marine Petroleum Trust	80	"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town."	4.0	246	Men_CORE_RUNNING_SHOES_LOW_EG0000_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:Yellow
Women's adidas Running Cosmic 2 Shoes	B44889	59.99	"Fossil Group, Inc."	80	"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time."	3.4	24	WOMEN_CORE_SHOES_MID_B44889_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:Yellow
Women's adidas Sport Inspired Storm Runner Shoes	CL7417	45.99	"Applied Industrial Technologies, Inc."	80	"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long. "	3.4	246	Women_CORE_RUNNING_SHOES_LOW_CL7417_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:blue
Women's adidas Sport Inspired Quickspike Shoes	CL7408	39.99	Allstate Corporation (The)	80	"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."	3.4	45	Women_CORE_RUNNING_SHOES_LOW_CL7408_1.jpg	2020-04-13T15:06:16	shoes:size:42	shoes:color:blue
